Node	Label
§ 23.2435   Powerplant induction and exhaust systems.	23 
§ 25.1161   Fuel jettisoning system controls.	25 
§ 25.953   Fuel system independence.	25 
§ 121.697   Disposition of load manifest, flight release, and flight plans: Supplemental operations.	121 
§ 29.1203   Fire detector systems.	29 
§ 1274.504   Competition.	1274 
§ 1209.403   Organizational location.	1209 
§ 107.65   Aeronautical knowledge recency.	107 
§ 77.15   Scope.	77 
§ 404.3   General.	404 
§ 60.7   Sponsor qualification requirements.	60 
§ 404.19   Hearings.	404 
§ 21.29   Issue of type certificate: import products.	21 
§ 375.70   Special authorization.	375 
§ 1216.302   Responsibilities.	1216 
§ 29.853   Compartment interiors.	29 
§ 142.13   Management and personnel requirements.	142 
§ 435.3   Types of reentry licenses.	435 
§ 135.79   Flight locating requirements.	135 
§ 1262.310   Payment of award.	1262 
§ 221.195   Requirement for filing printed material.	221 
§ 125.153   Flammable fluids.	125 
§ 297.23   Waiver of sovereign immunity.	297 
§ 151.39   Project eligibility.	151 
§ 221.31   Rules and regulations governing passenger fares and services.	221 
§ 91.609   Flight data recorders and cockpit voice recorders.	91 
§ 21.33   Inspection and tests.	21 
§ 16.219   Subpoenas.	16 
§ 121.925   Recordkeeping requirements.	121 
§ 158.71   Federal oversight.	158 
§ 120.125   Waivers from 49 CFR 40.21.	120 
§ 125.323   Reporting mechanical irregularities.	125 
§ 139.337   Wildlife hazard management.	139 
§ 251.4   Large musical instruments as carry-on baggage.	251 
§ 29.1027   Transmission and gearboxes: general.	29 
§ 302.415   Hearing.	302 
§ 29.1561   Safety equipment.	29 
§ 65.21   Change of address.	65 
§ 61.425   How do I renew my flight instructor certificate?	61 
§ 16.3   Definitions.	16 
§ 29.1549   Powerplant instruments.	29 
§ 121.171   Applicability.	121 
§ 29.1415   Ditching equipment.	29 
§ 27.1419   Ice protection.	27 
§ 221.211   Cancellation of suspended matter.	221 
§ 121.661   Initial approach altitude: Flag operations.	121 
§ 234.6   Baggage-handling statistics.	234 
§ 1213.103   Responsibilities.	1213 
§ 302.410   Consolidation of proceedings.	302 
§ 31.65   Position lights.	31 
§ 151.51   Performance of construction work: Sponsor force account.	151 
§ 136.3   Letters of Authorization.	136 
§ 1274.212   Award information.	1274 
§ 251.1   Definitions.	251 
§ 121.1001   Applicability and definitions.	121 
§ 382.115   What requirements apply to on-board safety briefings?	382 
§ 121.580   Prohibition on interference with crewmembers.	121 
§ 121.713   Retention of contracts and amendments: Commercial operators who conduct intrastate operations for compensation or hire.	121 
§ 151.53   Performance of construction work: Labor requirements.	151 
§ 29.955   Fuel flow.	29 
§ 135.170   Materials for compartment interiors.	135 
§ 1261.311   Claims requiring Department of Justice approval or consultation.	1261 
§ 1274.910   Authority.	1274 
§ 158.15   Project eligibility at PFC levels of $1, $2, or $3.	158 
§ 1203.1002   Ad hoc committees.	1203 
§ 257.6   Effective and compliance dates.	257 
§ 73.15   Using agency.	73 
§ 203.3   Filing requirements for adherence to Montreal Convention.	203 
§ 91.1097   Pilot and flight attendant crewmember training programs.	91 
§ 216.2   Applicability.	216 
§ 218.7   Presumption.	218 
Sec. 1-1   Applicability of system of accounts and reports.	241 
§ 121.581   Observer's seat: En route inspections.	121 
§ 1204.1508   Time limitations for receiving comments on proposed direct Federal development.	1204 
§ 152.323   Budget revision: Airport development.	152 
§ 158.9   Limitations.	158 
§ 121.545   Manipulation of controls.	121 
§ 303.41   Notice.	303 
§ 1264.112   Parties to the hearing.	1264 
§ 302.302   Filing of applications.	302 
§ 1263.106   Final decision of the General Counsel as to production, disclosure, or appearance.	1263 
§ 152.503   Suspension of grant.	152 
§ 193.3   Definitions.	193 
§ 1204.1003   Procedures.	1204 
§ 61.98   Flight proficiency.	61 
§ 121.159   Single-engine airplanes prohibited.	121 
§ 1251.503   Definitions.	1251 
§ 29.1121   General.	29 
§ 415.8   Human space flight.	415 
§ 91.607   Emergency exits for airplanes carrying passengers for hire.	91 
§ 171.301   Scope.	171 
§ 110.2   Definitions.	110 
§ 105.25   Parachute operations in designated airspace.	105 
§ 1253.310   Recruitment.	1253 
§ 221.81   Suspension supplement.	221 
§ 302.602   Complaint by a carrier; request for determination by an airport owner or operator.	302 
Section 10   Functional Classification - Operating Expenses of Group I Air Carriers	241 
§ 221.141   Method of revoking concurrence.	221 
§ 1203.402   Classifying material other than documentation.	1203 
§ 414.41   Administrative law judge's recommended decision in safety approval actions.	414 
§ 382.3   What do the terms in this rule mean?	382 
§ 135.339   Initial and transition training and checking: Check airmen (aircraft), check airmen (simulator).	135 
§ 119.8   Safety Management Systems.	119 
§ 1271.110   Certification and disclosure.	1271 
§ 48.15   Requirement to register.	48 
§ 201.1   Formal requirements.	201 
§ 223.3   Mandatory free transportation.	223 
§ 125.21   Application for operating certificate.	125 
§ 1221.108   Establishment of the NASA Unified Visual Communications System.	1221 
§ 417.101   Scope.	417 
§ 25.689   Cable systems.	25 
§ 121.401   Training program: General.	121 
§ 13.7   Records, documents and reports.	13 
§ 34.5   Special test procedures.	34 
§ 1300.14   Guarantee percentage.	1300 
§ 25.1709   System safety: EWIS.	25 
§ 25.1   Applicability.	25 
§ 372.4   Enforcement.	372 
§ 1203.600   Policy.	1203 
§ 21.607   Quality system.	21 
§ 91.1003   Management contract between owner and program manager.	91 
§ 382.81   For which passengers must carriers make seating accommodations?	382 
§ 61.193   Flight instructor privileges.	61 
§ 1217.100   Scope.	1217 
§ 25.1711   Component identification: EWIS.	25 
§ 249.2   Definitions.	249 
§ 27.1415   Ditching equipment.	27 
§ 91.505   Familiarity with operating limitations and emergency equipment.	91 
§ 67.213   General medical condition.	67 
§ 49.37   Claims for salvage or extraordinary expenses.	49 
§ 25.105   Takeoff.	25 
§ 139.325   Airport emergency plan.	139 
§ 1261.409   Contracting for collection services.	1261 
§ 17.41   Final orders.	17 
§ 23.2500   Airplane level systems requirements.	23 
§ 121.803   Emergency medical equipment.	121 
§ 121.681   Applicability.	121 
§ 29.1363   Electrical system tests.	29 
§ 73.3   Special use airspace.	73 
§ 1212.606   Duplicate copies of records or portions of records.	1212 
§ 15.113   Indemnification agreements.	15 
§ 25.901   Installation.	25 
§ 27.427   Unsymmetrical loads.	27 
§ 25.405   Secondary control system.	25 
§ 16.29   Investigations.	16 
§ 21.131   Applicability.	21 
§ 1264.141   Judicial review.	1264 
§ 14.23   Reply.	14 
§ 125.171   Fire-detector systems.	125 
§ 91.115   Right-of-way rules: Water operations.	91 
§ 27.969   Fuel tank expansion space.	27 
§ 29.805   Flight crew emergency exits.	29 
§ 1274.215   Federal and federally funded construction projects.	1274 
§ 33.21   Engine cooling.	33 
§ 249.8   Premature loss or destruction of records.	249 
§ 1245.106   Waiver of foreign rights.	1245 
§ 5.71   Safety performance monitoring and measurement.	5 
§ 129.20   Digital flight data recorders.	129 
§ 382.25   May a carrier require a passenger with a disability to provide advance notice that he or she is traveling on a flight?	382 
§ 21.177   Amendment or modification.	21 
§ 71.7   Bearings, radials, and mileages.	71 
§ 29.610   Lightning and static electricity protection.	29 
§ 21.39   Flight test instrument calibration and correction report.	21 
§ 11.25   How does FAA issue rules?	11 
§ 121.425   Flight engineers: Initial and transition flight training.	121 
§ 414.33   Modification, suspension, or revocation of a safety approval.	414 
§ 417.307   Support systems.	417 
§ 1274.942   Export licenses.	1274 
§ 27.251   Vibration.	27 
§ 93.69   Special requirements, Lake Campbell and Sixmile Lake Airports.	93 
§ 121.351   Communication and navigation equipment for extended over-water operations and for certain other operations.	121 
§ 200.1   Terms and definitions.	200 
§ 17.23   Protest remedies.	17 
§ 107.69   Knowledge tests: Cheating or other unauthorized conduct.	107 
§ 151.93   Buildings; utilities; sidewalks; parking areas; and landscaping.	151 
§ 302.10   Parties.	302 
§ 400.1   Basis.	400 
§ 1274.921   Publications and reports: non-proprietary research results.	1274 
§ 21.223   Class II provisional airworthiness certificates.	21 
§ 91.325   Primary category aircraft: Operating limitations.	91 
§ 135.211   VFR: Over-the-top carrying passengers: Operating limitations.	135 
§ 415.203   Environmental information.	415 
§ 1253.215   Membership practices of certain organizations.	1253 
§ 29.675   Stops.	29 
§ 171.9   Installation requirements.	171 
§ 61.165   Additional aircraft category and class ratings.	61 
§ 25.1199   Extinguishing agent containers.	25 
§ 1204.1407   Procedure in the event of an unauthorized use.	1204 
§ 1230.115   IRB Records.	1230 
§ 120.31   Prohibited drugs.	120 
§ 25.1511   Flap extended speed.	25 
§ 16.13   Filing of documents.	16 
§ 151.81   Taxiway paving.	151 
§ 27.965   Fuel tank tests.	27 
Section 15   Objective Classification - Income Taxes for Current Period	241 
§ 380.33a   Operator's option plan.	Appendix A to Part 380 
§ 135.75   Inspectors credentials: Admission to pilots' compartment: Forward observer's seat.	135 
§ 193.7   What does it mean for the FAA to designate information as protected?	193 
§ 235.3   Reports by air carriers on incidents involving animals during air transport.	235 
§ 121.219   Ventilation.	121 
§ 29.85   Balked landing: Category A.	29 
§ 121.394   Flight attendant requirements during passenger boarding and deplaning.	121 
§ 91.167   Fuel requirements for flight in IFR conditions.	91 
§ 91.215   ATC transponder and altitude reporting equipment and use.	91 
§ 404.5   Filing a petition for waiver.	404 
§ 139.3   Delegation of authority.	139 
§ 1203.603   Systematic review for declassification:	1203 
§ 13.223   Standard of proof.	13 
§ 302.305   Posting of applications.	302 
§ 29.1   Applicability.	29 
§ 1212.202   Identification procedures.	1212 
§ 77.39   Contents of a petition.	77 
§ 21.3   Reporting of failures, malfunctions, and defects.	21 
§ 27.1187   Ventilation and drainage.	27 
§ 29.1329   Automatic pilot system.	29 
§ 25.1329   Flight guidance system.	25 
§ 152.303   Financial management system.	152 
§ 431.37   Mission readiness.	431 
§ 63.12a   Refusal to submit to an alcohol test or to furnish test results.	63 
§ 221.162   Receiver shall file adoption notices.	221 
§ 1253.510   Recruitment.	1253 
§ 17.33   Adjudicative Process for contract disputes.	17 
§ 67.415   Return of medical certificate after suspension or revocation.	67 
§ 63.19   Operations during physical deficiency.	63 
§ 1261.301   Authority.	1261 
§ 151.35   Airport development and facilities to which subparts B and C apply.	151 
§ 25.623   Bearing factors.	25 
§ 77.3   Definitions.	77 
§ 25.820   Lavatory doors.	25 
§ 382.65   What are the requirements concerning on-board wheelchairs?	382 
§ 61.311   What flight proficiency requirements must I meet to apply for a sport pilot certificate?	61 
§ 417.117   Reviews.	417 
§ 417.113   Launch safety rules.	417 
§ 1259.101   Definitions.	1259 
§ 121.663   Responsibility for dispatch release: Domestic and flag operations.	121 
§ 91.129   Operations in Class D airspace.	91 
§ 1221.110   Use of the NASA Insignia.	1221 
§ 139.327   Self-inspection program.	139 
§ 91.1091   Qualifications: Flight instructors (aircraft) and flight instructors (simulator).	91 
§ 252.3   Definitions.	252 
§ 11.35   Does FAA include sensitive security information and proprietary information in the Federal Docket Management System (FDMS)?	11 
§ 29.605   Fabrication methods.	29 
§ 21.25   Issue of type certificate: Restricted category aircraft.	21 
§ 129.11   Amendment, suspension and termination of operations specifications.	129 
§ 135.377   Large transport category airplanes: Reciprocating engine powered: Landing limitations: Alternate airports.	135 
§ 29.927   Additional tests.	29 
§ 27.67   Climb: one engine inoperative.	27 
§ 223.4   Transferability of passes.	223 
§ 25.1013   Oil tanks.	25 
§ 65.105   Display of certificate.	65 
§ 25.1507   Maneuvering speed.	25 
§ 25.1435   Hydraulic systems.	25 
§ 14.01   Purpose of these rules.	14 
§ 31.63   Safety belts.	31 
§ 63.12   Offenses involving alcohol or drugs.	63 
§ 25.1581   General.	25 
§ 61.39   Prerequisites for practical tests.	61 
§ 16.17   Computation of time.	16 
§ 243.9   Procedures for collecting and maintaining the information.	243 
§ 1209.401   Establishment.	1209 
§ 158.63   Reporting requirements: Public agency.	158 
§ 152.311   Availability of contractor's records.	152 
§ 117.3   Definitions.	117 
§ 292.11   Revocation of exemption.	292 
§ 437.23   Program description.	437 
§ 125.321   Reporting potentially hazardous meteorological conditions and irregularities of ground and navigation facilities.	125 
§ 60.11   FSTD use.	60 
§ 1221.111   Use of the NASA Logotype.	1221 
§ 49.31   Applicability.	49 
§ 1264.137   Reconsideration of initial decision.	1264 
§ 145.1   Applicability.	145 
§ 141.25   Business office and operations base.	141 
§ 222.5   Cancellation or conditioning of a Statement of Authorization.	222 
§ 14.24   Comments by other parties.	14 
§ 375.60   Penalties.	375 
§ 382.67   What is the requirement for priority space in the cabin to store passengers' wheelchairs?	382 
§ 23.2100   Weight and center of gravity.	23 
§ 137.42   Fastening of safety belts and shoulder harnesses.	137 
§ 250.10   Report of passengers denied confirmed space.	250 
§ 377.1   Definitions.	377 
§ 31.55   Deflation means.	31 
§ 25.1207   Compliance.	25 
§ 1206.301   Describing records sought.	1206 
§ 125.5   Operating certificate and operations specifications required.	125 
§ 13.235   Judicial review of a final decision and order.	13 
